Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Comments
17,Class,UML,2,,,,,,,,CommonGoalCardManager,"​- unfullfilledCards : Map<Player, List<Card>>
- cardsToTokens  : Map< Card, List<Token> >
- playersToTokens  : Map< Player, List<Token> >","​+ CommonCardManager(players:List<Player>, deck:Deck)
+ update()
+ updatePoints()
+ getCardsToTokens()  : Map< Card, List<Token> >
+ getPlayersToTokens(player : Player) : List<Token>
+ getFullfilledCards(player : Player) : List<Card>
+ getUnfullfilledCards(player : Player) : List<Card>","[{""Resolved"":false,""Comments"":[{""Timestamp"":""2023-03-10T19:55:19.000Z"",""Creator"":""Giuseppe Bocci"",""Content"":""updatePoints() usa player.addPoint e rimuove token dalla pila""}]}]"
18,Text,Standard,2,,,,,,,,,,,
19,Class,UML,2,,,,,,,,CardsAndPointsManager,​- deck : Deck,"​+ CardsAndPointsManager(players : List<Player>, deck : Deck)",
20,Class,UML,2,,,,,,,,Token,"​- points : Integer
- number : Integer","​+ Token(points : integer, number : Integer)
+ getPoints() : Integer",
21,Class,UML,2,,,,,,,,Chat,"​- MessagesPerPlayer : Map<Player, List<Message>>","​+ Chat(players: List<Player>)
+ Chat(chat: Chat)
+ sendMessage(message: Message)
+ getMessages(player: Player) : List<Message>",
22,Class,UML,2,,,,,,,, PersonalGoalCardManager,"​- playersToCards  : Map< Player, Card >","​+ PersonalCardManager(players:List<Player>,  deck:Deck )
+ updatePoints()
+ getPlayersToCards() : Map< Player, Card >",
23,Class,UML,2,,,,,,,, EndGamePointsManager,​- goalPatterns : List <Adjacent>,"​+ AdiacentItemTilesManager(players:List<Player>, goalPatterns List<Pattern>)
+ updatePoints()","[{""Resolved"":false,""Comments"":[{""Timestamp"":""2023-03-16T11:27:58.000Z"",""Creator"":""Giuseppe Bocci"",""Content"":""controlla pattern dal punteggio maggiore a quello minore""}]}]"
24,Class,UML,2,,,,,,,,Message,"​+ receiver : Optional <Player>
+ data : LocalDateTime
- content :  String","​+ Message(Txt : String)
+ Message(Txt : String, receiver : Player)
+ getContent() : String","[{""Resolved"":false,""Comments"":[{""Timestamp"":""2023-03-13T22:33:46.000Z"",""Creator"":""Giuseppe Bocci"",""Content"":""dato che reciver è un optional toglierei proprio isPrivate, altrimenti non ha senso usare l'optional""}]}]"
25,Class,UML,2,,,,,,,,PointsManager,​+ players: List<Player>,​+ updatePoints(),
26,Class,UML,2,,,,,,,,Tile,"​+ boardX : int
+ boardY : int","​+ Tile(boardX : int, boardY : int, type : TileType)
+ getBoardX() : int
+ getBoardY() : int
+ removeFromBoard() : void
+ getType() : ItemTile",
27,Class,UML,2,,,,,,,,Specific,"​- masks : List <List<List<Boolean>> >
+ grupNum : Integer","​+ Specific(mask : List<List<Boolean>>, grupNum, sgc, stc, minC, maxC)
+ Specific(objJSON : String)
+ getMask() : List <List<List<Boolean>> >
+ getGrupNum() : Integer
+ getPatternFunction() : Function<List<List<Optional<Tile>>>, Integer>",
28,Class,UML,2,,,,,,,,Line,,"​+ Line(tilesNum : Integer, directions, grupNum, sgc, stc, minC, maxC)
+ Line(objJSON : String)
- getMask() : List < <List<List<Boolean>> >
+ getPatternFunction() : Function<List<List<Optional<Tile>>>, Integer>",
29,Class,UML,2,,,,,,,,Personal,,"​+ Personal(tiles : List<Tile>)
+ Personal(objJSON : String)
- getMask() : List < <List<List<Boolean>> >
",
30,Class,UML,2,,,,,,,,Adjacent,"​+ points : Integer
+ minTiles : Integer
+ maxTiles : Integer","​+ Pattern(mask : List<List<Boolean>>, minTiles, maxTiles, Points)
+ Pattern(objJSON : String)
+ getMask() : List<List<Boolean>>
+ getPoints() : Integer
+ getMinTiles() : Integer
+ getMaxTiles() : Integer
+ getPatternFunction() : Function","[{""Resolved"":false,""Comments"":[{""Timestamp"":""2023-03-16T11:17:18.000Z"",""Creator"":""Giuseppe Bocci"",""Content"":""getPatternFunction() mi ritorna i punti che ho fatto e la matrice di tiles che ho messo me la modifica a vuota dove ho trovato le tiles dei pattern""}]}]"
31,Class,UML,2,,,,,,,,Pattern,"​+ sgc : Boolean = False
+ stc : Boolean = True
+ minColor : Integer = 1
+ maxColor : Integer = 1","​+ Pattern(grupNum, sgc, stc, minC, maxC)
+ Pattern(objJSON : String)
+ getPatternFunction() : Function",
32,Class,UML,2,,,,,,,,GoalManager,,"​+ GoalManager(players : List<Player>, setUpFile : String)
+ updatePointsTurn() : void
+ updatePointsEnd() : void
+ getCommonCardsToTokens()  : Map< Card, List<Token> >
+ getPersonalCards()  : Map< Player, Card >
+ getPlayerTokens(player : Player) : List<Token>
+ getPlayerCommonFullfilledCards(player : Player) : List<Card>
+ getPlayerCommonUnfullfilledCards(player : Player) : List<Card>",
33,Class,UML,2,,,,,,,,State,​- turn : Turn,"​+ State(turn : Turn)
+ pickTiles(tiles : List<Tile>) : Boolean
+ putTiles(tiles : List<Tile>, column : int) : Boolean",
34,Class,UML,2,,,,,,,,PickTilesState,,"​+ PickTilesState(turn : Turn)
+ pickTiles(tiles : List<Tile>) : Boolean
+ putTiles(tiles : List<Tile>, column : int) : Boolean
- checkPick(tiles : List<Tile>) : Boolean",
35,Class,UML,2,,,,,,,,PutTilesState,,"​+ PutTilesState(turn : Turn)
+ pickTiles(tiles : List<Tile>) : Boolean
+ putTiles(tiles : List<Tile>, column : int) : Boolean",
36,Class,UML,2,,,,,,,,EndState,,"​+ EndState(turn : Turn)
+ pickTiles(tiles : List<Tile>) : Boolean
+ putTiles(tiles : List<Tile>, column : int) : Boolean",
37,Line,,2,,75,4,4,None,None,,,,,
38,Line,,2,,,3,6,None,None,,2 - 4,​- players : List<Player>,,
39,Line,,2,,,6,8,None,None,,​- bookShelf,,,
40,Line,,2,,,3,13,None,None,,​- board: LivingRoomBoard,,,
41,Line,,2,,,14,3,None,Composition,,​- currentTurn : Turn,,,
42,Line,,2,,,8,26,None,None,,30,,,
43,Line,,2,,,14,6,None,None,,​- currPlayer,,,
44,Line,,2,,,14,26,None,None,,1-3,​- pickedTiles : List<Tile>,,
45,Line,,2,,,26,13,None,None,,87,,,
46,Line,,2,,,10,7,None,Generalization,,,,,
47,Line,,2,,,9,7,None,Generalization,,,,,
48,Line,,2,,,15,13,None,None,,81,,,
49,Line,,2,,,32,16,None,None,,2,"​- deckPersonalGoalCards
- deckCommonGoalCards",,
50,Line,,2,,,7,16,None,Composition,,2...*, - cards : List<Card>,,
51,Line,,2,,,19,25,None,Generalization,,,,,
52,Line,,2,,,17,19,None,Generalization,,,,,
53,Line,,2,,,19,16,None,None,,​- deck : Deck,,,
54,Line,,2,,,32,25,None,None,,​- pointsManagers : List<PointsManager>,3,,
55,Line,,2,,,22,19,None,Generalization,,,,,
56,Line,,2,,,23,25,None,Generalization,,,,,
57,Line,,2,,,3,11,None,None,,​- gameState ,,,
58,Line,,2,,,17,20,None,None,,2-8,,,
59,Line,,2,,,21,24,None,None,,0..*,,,
60,Line,,2,,,3,21,None,None,,​- Chat,,,
61,Line,,2,,,14,13,None,None,,​- board: LivingRoomBoard,,,
62,Line,,2,,,25,6,None,None,,2 - 4,​- players : List<Player>,,
63,Line,,2,,,12,26,None,None,,​+ type : TileType,,,
64,Line,,2,,,28,27,None,Generalization,,,,,
65,Line,,2,,,30,31,None,Generalization,,,,,
66,Line,,2,,,27,31,None,Generalization,,,,,
67,Line,,2,,,7,31,None,None,,​+ pattern,,,
68,Line,,2,,,29,31,None,Generalization,,,,,
69,Line,,2,,,32,3,None,None,, - goalManager,,,
70,Line,,2,,,23,30,None,None,,1...*,,,
71,Line,,2,,,14,33,None,None,,​- state : State,,,
72,Line,,2,,,34,33,None,Arrow,,,,,
73,Line,,2,,,35,33,None,Arrow,,,,,
74,Line,,2,,,36,33,None,Generalization,,,,,
75,Group 1,,2,,,,,,,,,,,
